鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
北區,房地(土地+建物)+車位,臺中市北區北平四街５號９樓之１９,8.5,商,,,1120709,土地1建物1車位1,九層,15,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1071130,75.24000000000001,1,1,1,有,有,有,22000,292,坡道機械,14.04,0,,RPXNMLTJQHIGFBB98CC
北區,房地(土地+建物)+車位,臺中市北區北平四街５號５樓之９,8.55,商,,,1120713,土地1建物1車位1,五層,15,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1071130,75.64,1,1,1,有,有,有,22000,291,坡道機械,14.04,0,,RPOOMLTJQHIGFBB18CC
北屯區,房地(土地+建物),臺中市北屯區北屯路２８６號１５樓之２,2.71,住,,,1120801,土地1建物1車位0,十五層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850524,30.06,1,0,1,有,有,有,8000,266,,0.0,0,社會住宅包租代管案件租金市價打9折，此租約訂定租金不含管理費，費用由承租人另行支付。,RPPOMLTJQHIGFBB28CC
北區,房地(土地+建物),臺中市北區尚德街１０５之３號,13.22,住,,,1120721,土地1建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0680813,81.67,3,2,2,有,無,有,15600,191,,0.0,0,此為社會住宅包租代管,RPQOMLTJQHIGFBB38CC
北屯區,房地(土地+建物)+車位,臺中市北屯區崇德路二段２８號１１樓,18.83,商,,,1120720,土地1建物1車位1,十一層,25,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,0811126,251.48000000000002,4,2,2,有,有,有,30000,119,坡道機械,0.0,0,,RPROMLTJQHIGFBB48CC
北區,建物,臺中市北區進化北路３６７號１２樓之２６,0.0,商,,,1120715,土地0建物1車位0,十二層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830207,35.75,1,0,0,無,有,有,7000,196,,0.0,0,,RPSOMLTJQHIGFBB58CC
北屯區,建物,臺中市北屯區太原路三段１２１６號十二樓之５,0.0,住,,,1120720,土地0建物1車位0,十二層,15,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1091225,83.89,2,2,1,有,有,有,22000,262,,0.0,0,住宅及都市更新中心社會住宅包租代管計畫；水電、瓦斯費及每月管理費2382元由承租人負擔。,RPTOMLTJQHIGFBB68CC
北屯區,房地(土地+建物)+車位,臺中市北屯區太順五街１３８號三樓之３,15.91,住,,,1120710,土地1建物1車位1,三層,11,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1081112,98.64,2,2,1,有,有,有,20000,222,坡道機械,14.9,1400,,RPUOMLTJQHIGFBB78CC
北屯區,房地(土地+建物),臺中市北屯區天津路四段３０５號９樓之３,3.37,商,,,1120722,土地1建物1車位0,九層,24,套房(1房1廳1衛),住家用,鋼筋混凝土造,0840626,52.73,1,1,1,有,無,有,12500,237,,0.0,0,,RPVOMLTJQHIGFBB88CC
北區,建物,臺中市北區太原路二段１８１巷２弄４之２號,0.0,商,,,1120727,土地0建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0731206,100.35,2,2,2,有,無,有,16000,159,,0.0,0,住宅及都市更新中心社會住宅包租代管計畫；每月水電、瓦斯費由承租人負擔。,RPWOMLTJQHIGFBB98CC
