鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
朴子市,建物,嘉義縣朴子市仁和二路１３９號８樓３５,7.6,住,,,1120626,土地0建物0車位0,八層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0950828,31.22,1,0,1,有,有,有,5000,160,,0.0,0,,RPQNMLMKPHIGFBQ09CC
番路鄉,建物,嘉義縣番路鄉江西村６鄰平?２３號九樓八,0.0,住,,,1120701,土地0建物1車位0,九層,18,套房(1房1廳1衛),住家用,鋼筋混凝土造,0820401,42.269999999999996,1,0,1,有,有,有,4200,99,,0.0,0,每月水電瓦斯費由承租人另外負擔。,RPPNMLNKPHIGFEQ76CC
中埔鄉,房地(土地+建物),嘉義縣中埔鄉和睦村５鄰中山新?６７號,91.25,住,,,1120711,土地1建物1車位0,全,2,透天厝,住商用,鋼筋混凝土加強磚造,0690820,89.93,3,1,2,有,無,有,10500,117,,0.0,0,嘉義縣政府包租代管計畫；水電瓦斯費及網路費皆由承租人負擔。,RPPNMLNKPHIGFDQ66CC
太保市,建物,嘉義縣太保市安仁里頂港子墘３９之２１號二樓之７,0.0,,鄉村區,乙種建築用地,1120711,土地0建物1車位0,二層,5,套房(1房1廳1衛),集合住宅,鋼筋混凝土造,0940204,23.02,1,0,1,有,有,有,4500,195,,0.0,0,,RPQNMLRKPHIGFDQ17CC
太保市,房地(土地+建物),嘉義縣太保市安仁里縣府三街２２號,87.99,住,,,1120714,土地1建物1車位0,全,4,透天厝,住商用,鋼筋混凝土造,0920312,179.17,4,1,3,有,無,有,17600,98,,0.0,0,,RPPNMLSKPHIGFDQ17CC
朴子市,建物,嘉義縣朴子市仁和二路１３９號四樓之２８,0.0,住,,,1120713,土地0建物1車位0,四層,8,套房(1房1廳1衛),住家用,鋼筋混凝土造,0950828,31.23,1,0,1,有,有,有,4500,144,,0.0,0,,RPPNMLSKPHIGFBQ96CC
中埔鄉,房地(土地+建物),嘉義縣中埔鄉和美村中山新?３７３號,79.64,住,,,1120714,土地1建物1車位0,全,2,透天厝,住家用,鋼筋混凝土加強磚造,0700114,85.49,4,2,2,有,無,有,6000,70,,0.0,0,嘉義縣政府包租代管計畫。水電費、瓦斯費由承租人負擔。,RPPNMLTKPHIGFDQ27CC
太保市,建物,嘉義縣太保市安仁里頂港子墘４０之７號三樓之９,0.0,,鄉村區,乙種建築用地,1120718,土地0建物1車位0,三層,5,套房(1房1廳1衛),集合住宅,鋼筋混凝土造,0940815,23.34,1,0,1,有,有,有,3500,150,,0.0,0,,RPQNMLLLPHIGFDQ66CC
朴子市,建物,嘉義縣朴子市仁和二路１３９號四樓之２７,0.0,住,,,1120718,土地0建物1車位0,四層,8,套房(1房1廳1衛),住家用,鋼筋混凝土造,0950828,31.23,1,0,1,有,有,有,4500,144,,0.0,0,,RPPNMLLLPHIGFBQ98CC
番路鄉,建物,嘉義縣番路鄉江西村６鄰平?２３號二樓六,0.0,住,,,1120718,土地0建物1車位0,二層,18,套房(1房1廳1衛),住家用,鋼筋混凝土造,0820401,48.11,1,0,1,有,有,有,7500,156,,0.0,0,嘉義縣政府包租代管計畫；水電瓦斯費及每月管理費600元皆由承租人負擔。,RPPNMLLLPHIGFEQ66CC
番路鄉,建物,嘉義縣番路鄉江西村６鄰平?２３號五樓六,0.0,住,,,1120718,土地0建物1車位0,五層,18,套房(1房1廳1衛),住家用,鋼筋混凝土造,0820401,48.11,1,0,1,有,有,有,7000,145,,0.0,0,嘉義縣政府包租代管計畫；水電瓦斯費每月管理費600元皆由承租人負擔。,RPQNMLLLPHIGFEQ76CC
朴子市,土地,文化段334地號,52.0,住,,,1120720,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,有,20000,385,,0.0,0,,RPPNMLLMPHIGFBQ09CC
朴子市,房地(土地+建物),嘉義縣朴子市山通路２４巷１０號２樓,23.87,住,,,1120723,土地1建物1車位0,二層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830512,126.01,3,2,2,有,有,有,12800,102,,0.0,0,租賃範圍含機械式車位，無法區分車位面積,RPQNMLLMPHIGFBQ56CC
民雄鄉,房地(土地+建物),嘉義縣民雄鄉金興村集福街２５巷３５號,69.27,住,,,1120724,土地1建物1車位0,全,2,透天厝,住家用,鋼筋混凝土加強磚造,0700212,91.66,3,1,2,有,無,有,12500,136,,0.0,0,嘉義縣政府包租代管計畫，每月水電瓦斯、網路費由承租人另外負擔。,RPPNMLLMPHIGFCQ56CC
民雄鄉,建物,嘉義縣民雄鄉福興村１１鄰牛稠溪５９２號三樓,0.0,,鄉村區,乙種建築用地,1120725,土地0建物1車位0,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0800607,127.77000000000001,3,2,2,有,有,有,6000,47,,0.0,0,嘉義縣政府包租代管計畫；水電瓦斯費及每月管理費1025元由承租人另外負擔。,RPQNMLLMPHIGFCQ66CC
民雄鄉,房地(土地+建物),嘉義縣民雄鄉金興村２２鄰忠義街７０號,100.52,住,,,1120731,土地1建物1車位0,全,4,透天厝,住商用,鋼筋混凝土造,0830105,204.42,5,3,3,有,無,有,17000,83,,0.0,0,嘉義縣政府包租代管計畫。水電費、瓦斯費由承租人負擔。,RPPNMLSJQHIGFCQ07CC
民雄鄉,建物,嘉義縣民雄鄉三興村三興路１９號五樓之八,0.0,住,,,1120727,土地0建物1車位0,五層,5,套房(1房1廳1衛),集合住宅,鋼筋混凝土造,0951019,29.94,1,0,1,有,無,有,3900,130,,0.0,0,嘉義縣政府包租代管計畫；每月水電瓦斯費由承租人另外負擔。,RPQNMLSJQHIGFCQ17CC
大林鎮,建物,嘉義縣大林鎮平林里光明街５３號五樓,0.0,住,,,1120728,土地0建物1車位0,五層,5,公寓(5樓含以下無電梯),集合住宅,鋼筋混凝土造,0820217,118.69999999999999,3,1,2,有,無,有,10000,84,,0.0,0,,RPRNMLSJQHIGFCQ27CC
中埔鄉,房地(土地+建物),嘉義縣中埔鄉和美村５鄰大義３７５巷１弄１２號,135.68,住,,,1120726,土地1建物1車位0,全,2,透天厝,住家用,鋼筋混凝土加強磚造,0721005,106.61,4,1,2,有,無,有,9000,84,,0.0,0,嘉義縣政府包租代管計畫。水電費、瓦斯費由承租人負擔。,RPPNMLSJQHIGFDQ17CC
太保市,建物,嘉義縣太保市安仁里頂港子墘４０之７號三樓之１５,0.0,,鄉村區,乙種建築用地,1120727,土地0建物1車位0,三層,5,套房(1房1廳1衛),集合住宅,鋼筋混凝土造,0940815,23.34,1,0,1,有,有,有,4500,193,,0.0,0,,RPQNMLSJQHIGFDQ27CC
太保市,房地(土地+建物),嘉義縣太保市舊埤里新安八街２號,58.2,,鄉村區,乙種建築用地,1120803,土地1建物1車位0,全,3,透天厝,集合住宅,鋼筋混凝土造,0880531,132.56,3,1,3,有,無,有,8000,60,,0.0,0,,RPPNMLKKQHIGFDQ09CC
