鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
中壢區,建物,桃園市中壢區中山東路一段２２３巷８９弄５號三樓,0.0,住,,,1120609,土地0建物1車位0,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830804,108.63,3,2,2,有,有,有,15000,138,,0.0,0,社會住宅 水電費由承租人負擔,RPROMLTJOHIGFBH88CC
觀音區,建物,桃園市觀音區福祥街１０之５號三樓,0.0,住,,,1120608,土地0建物1車位0,三層,5,套房(1房1廳1衛),集合住宅,鋼筋混凝土造,1101223,54.150000000000006,0,0,0,無,無,有,14000,259,,0.0,0,社會住宅水電瓦斯由承租人負擔,RPSOMLTJOHIGFBH98CC
中壢區,建物,桃園市中壢區延平路２６７號１３樓之１,0.0,住,,,1120601,土地0建物1車位1,十三層,18,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1090910,208.17000000000002,3,2,2,有,有,有,30000,161,坡道平面,47.08,4000,社會住宅,RPTOMLTJOHIGFBH09CC
中壢區,建物,桃園市中壢區華美一路１６巷６號二樓,0.0,住,,,1120609,土地0建物1車位1,二層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0891021,100.81,3,2,2,有,有,有,14200,141,坡道機械,13.22,0,社會住宅 管理費 水電費 瓦斯費由承租人負擔,RPUOMLTJOHIGFBH56CC
中壢區,建物,桃園市中壢區環北路３６０號１９樓之３,0.0,住,,,1120510,土地0建物1車位1,十九層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980629,182.76999999999998,3,2,2,有,有,有,35000,191,坡道平面,32.58,0,,RPVOMLTJOHIGFBH66CC
桃園區,建物,桃園市桃園區會稽一街８８巷５號三樓,0.0,住,,,1120523,土地0建物1車位1,三層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820630,142.17000000000002,3,2,2,有,有,有,23000,162,坡道平面,0.0,0,租金含管理費。車位面積無法分算。,RPPNMLTJOHIGFAH48CC
桃園區,建物,桃園市桃園區大有路５４０之１號十二樓,0.0,住,,,1120608,土地0建物1車位0,十二層,19,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840419,49.17,1,1,1,有,有,有,10000,203,,0.0,0,社會住宅 水電費由承租人負擔,RPQNMLTJOHIGFAH58CC
桃園區,建物,桃園市桃園區寶慶路３２６號１３樓之２,0.0,住,,,1120607,土地0建物1車位0,十三層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840714,56.3,1,0,1,有,有,有,8000,142,,0.0,0,社會住宅管理費由出租人負擔,RPRNMLTJOHIGFAH68CC
桃園區,建物,桃園市桃園區莊敬路一段１８１巷１０號７樓之５,0.0,住,,,1120602,土地0建物1車位1,七層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840519,101.25999999999999,2,2,2,有,有,有,17700,175,坡道平面,35.7,0,水費、電費、瓦斯費、網路費及每月管理費1800元整由承租人負擔。,RPSNMLTJOHIGFAH78CC
桃園區,建物,桃園市桃園區復興路５１號六樓之二,0.0,商,,,1120608,土地0建物1車位0,六層,12,住宅大樓(11層含以上有電梯),辦公室,鋼筋混凝土造,0820212,29.980000000000004,0,0,0,無,無,有,6500,217,,0.0,0,社會住宅 水電費由承租人負擔,RPUNMLTJOHIGFAH98CC
桃園區,建物,桃園市桃園區龍安街１６７之４號１０樓,0.0,其他,,,1120607,土地0建物1車位0,十層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0911224,90.38,2,1,1,有,有,有,13000,144,,0.0,0,社會住宅 管理費另計2000元,RPVNMLTJOHIGFAH09CC
桃園區,建物,桃園市桃園區寶慶路４３２之１號十四樓,0.0,住,,,1120608,土地0建物1車位0,十四層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831005,80.76,2,1,1,有,有,有,13500,167,,0.0,0,社會住宅，每月管理費720元由承租人自付,RPWNMLTJOHIGFAH56CC
桃園區,建物,桃園市桃園區慈光街３８號１１樓,0.0,住,,,1120525,土地0建物1車位1,十一層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0990318,127.07,3,2,2,有,有,有,15000,126,坡道平面,32.08,3000,社會住宅管理費另計2000,RPXNMLTJOHIGFAH66CC
桃園區,建物,桃園市桃園區永安路３０３巷２１弄１２號,0.0,住,,,1120528,土地0建物1車位0,一層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0860527,112.16,2,2,1,有,無,有,14500,129,,0.0,0,,RPOOMLTJOHIGFAH48CC
桃園區,房地(土地+建物),桃園市桃園區國豐八街２０號,41.0,住,,,1120503,土地1建物1車位0,一層,15,店面(店鋪),店舖,鋼筋混凝土造,1111109,53.08,0,0,0,無,有,無,28000,528,,0.0,0,,RPQOMLTJOHIGFAH68CC
桃園區,建物,桃園市桃園區愛二街８１號４樓,0.0,住,,,1120606,土地0建物1車位1,四層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1001128,169.39,3,1,2,有,有,有,22900,149,坡道平面,35.61,3000,社會住宅管理費3100元由承租人負擔,RPROMLTJOHIGFAH78CC
桃園區,房地(土地+建物),桃園市桃園區江南二街３９號８樓,14.89,住,,,1120528,土地1建物1車位0,八層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0920414,103.63,3,2,2,有,無,有,19000,183,,0.0,0,,RPSOMLTJOHIGFAH88CC
桃園區,建物,桃園市桃園區民有三街４５７號１０樓,0.0,商,,,1120602,土地0建物1車位1,十層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000506,127.77,2,1,2,有,有,有,22000,172,坡道平面,0.0,3000,社會住宅管理費2000元由承租人負擔,RPUOMLTJOHIGFAH09CC
桃園區,建物,桃園市桃園區民有三街１１號４樓,0.0,住,,,1120326,土地0建物1車位1,四層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0890707,99.13,2,1,1,有,有,有,16000,161,坡道機械,0.0,1500,社會住宅,RPVOMLTJOHIGFAH56CC
桃園區,建物,桃園市桃園區同德七街２號,0.0,商,,,1120520,土地0建物1車位1,見其他登記事項,4,店面(店鋪),住宅、停車空間,鋼筋混凝土造,0930406,301.89,5,3,3,有,有,有,60000,199,其他,51.28,0,租賃期間含免租金裝潢期。一樓做店面，二樓以上做補習班。,RPWOMLTJOHIGFAH66CC
桃園區,建物,桃園市桃園區國信街９３號３樓,0.0,住,,,1120605,土地0建物1車位1,三層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950920,103.84,2,1,1,有,有,有,15500,181,坡道平面,34.68,3000,社會住宅管理費1500元由承租人負擔,RPXOMLTJOHIGFAH76CC
桃園區,建物,桃園市桃園區樹仁三街４９１巷１６弄１４號,0.0,農,,,1120607,土地0建物1車位0,全,4,透天厝,停車空間、住宅、樓梯間,鋼筋混凝土造,0910624,223.67,5,3,4,有,無,有,19000,85,,0.0,0,社會住宅由承租人自付水電等費用,RPOPMLTJOHIGFAH58CC
楊梅區,建物,桃園市楊梅區中山南路８００巷１７０號２樓,0.0,,山坡地保育區,丙種建築用地,1120605,土地0建物1車位0,二層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0830914,99.06,3,1,2,有,有,有,6000,61,,0.0,0,社會住宅 管理費另計500元,RPPNMLTJOHIGFDH78CC
楊梅區,建物,桃園市楊梅區楊新北路２６５號１０樓之５,0.0,住,,,1120606,土地0建物1車位1,十層,13,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1090811,128.97,2,1,1,有,有,有,15500,120,坡道平面,0.0,500,社會住宅 管理費另計2500元 機車位另計0元,RPQNMLTJOHIGFDH88CC
